"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
43560580,598561,"O",230650.60,"1998-07-13","1-URGENT","Clerk#000004216",0,"y bold requests. regular, e"
43560642,575614,"O",105403.30,"1998-02-07","5-LOW","Clerk#000006750",0,"ully after the blithely bold dolphins! slyly pending theodolites haggle a"
43560672,263306,"O",46671.59,"1998-06-18","3-MEDIUM","Clerk#000001225",0," furiously even foxes. silent deposits haggle blithely. carefully eve"
43560773,1026628,"O",4917.79,"1998-02-11","5-LOW","Clerk#000003534",0,"al, final requests integrate against the slyly quiet req"
43560774,30488,"O",96862.82,"1998-04-26","3-MEDIUM","Clerk#000002660",0,"y unusual accounts. express, bold deposits alongside of the regular, ev"
43560807,303880,"O",235408.09,"1998-06-18","2-HIGH","Clerk#000009544",0,"e even, silent theodolites thrash quickly ironic, unusu"
43560835,355447,"O",7698.29,"1998-03-09","4-NOT SPECIFIED","Clerk#000009606",0,"s doze ironic, idle deposits. furiously express accounts are; even "
43560870,1368899,"O",101838.60,"1998-07-28","4-NOT SPECIFIED","Clerk#000000848",0,"refully express packages about the regular accounts are about the"
43560928,1292173,"O",388078.15,"1998-06-15","3-MEDIUM","Clerk#000000388",0," platelets. furiously pending accounts cajole permanen"
43560998,507409,"O",234462.47,"1998-05-12","1-URGENT","Clerk#000008276",0,"er the ironic, final pinto beans. enticin"
43561058,547616,"O",231210.51,"1998-04-05","1-URGENT","Clerk#000008642",0,"y regular accounts are furiously final accounts."
43561061,47401,"O",44571.96,"1998-06-08","4-NOT SPECIFIED","Clerk#000007651",0,"according to the special accounts. carefully express pa"
43561063,985499,"O",104136.45,"1998-07-29","2-HIGH","Clerk#000007741",0,"y ironic packages wake carefully blithely ironic instructions. r"
43561153,451823,"O",48754.65,"1998-03-18","2-HIGH","Clerk#000003180",0," regularly along the final frets. quickly regular theodolites haggle depe"
43561218,1450100,"O",180523.09,"1998-07-01","1-URGENT","Clerk#000008139",0,"se packages affix stealthily. regular, re"
43561219,1326658,"O",163927.86,"1998-03-05","4-NOT SPECIFIED","Clerk#000000103",0,"ickly special ideas. slyly express dependencies dete"
43561220,1133699,"O",35233.95,"1998-06-12","1-URGENT","Clerk#000005234",0,"xes cajole above the foxes. quickly final realms promise blithely furiousl"
43561222,1066265,"O",242400.22,"1998-03-12","2-HIGH","Clerk#000006673",0,"ogged, express requests cajole bli"
43561284,1246675,"O",20861.58,"1998-03-09","4-NOT SPECIFIED","Clerk#000009088",0,"ronic instructions. fluffily r"
43561285,844181,"O",40101.32,"1998-01-14","4-NOT SPECIFIED","Clerk#000000341",0,"ts wake about the ironic ideas. quickly final i"
43561345,1365610,"O",88411.07,"1998-04-20","3-MEDIUM","Clerk#000003584",0," final attainments. blithely regular pinto beans above the blithely silent "
43561410,1394863,"O",123568.14,"1998-01-30","4-NOT SPECIFIED","Clerk#000004862",0,"ges. final packages with the pinto "
43561444,766933,"O",269667.08,"1998-03-10","1-URGENT","Clerk#000009415",0,"efully about the final accounts. blithely pending accounts cajole. slyly expr"
43561473,232513,"O",205715.74,"1998-05-08","1-URGENT","Clerk#000001050",0,"ously ironic ideas dazzle packages. furi"
43561572,569191,"O",79695.03,"1998-05-19","2-HIGH","Clerk#000008348",0," must x-ray among the slyly regular packages. "
43561573,870218,"O",75843.42,"1998-05-13","3-MEDIUM","Clerk#000001660",0,"after the slyly slow dolphins. quickly regular packag"
43561575,395965,"O",293430.82,"1998-02-17","5-LOW","Clerk#000005308",0,"thely even, final packages. instructions across the slyly "
43561729,1323559,"O",262192.53,"1998-07-04","3-MEDIUM","Clerk#000001436",0,"y fluffily pending pinto bea"
43561732,1482362,"O",27520.76,"1998-04-10","4-NOT SPECIFIED","Clerk#000004858",0,"s among the unusual, regular the"
43561766,1187842,"O",24070.46,"1998-08-01","2-HIGH","Clerk#000006597",0,"n accounts among the blithely ironic foxes cajole requests. ev"
43561831,830209,"O",209623.64,"1998-07-27","1-URGENT","Clerk#000006569",0," foxes sleep slyly regular, final theodolites. special requests detect "
43561920,1195864,"O",195503.48,"1998-05-23","2-HIGH","Clerk#000002792",0,"ronic accounts. final packages sleep slyly quietly final multiplier"
43561952,1252015,"O",146201.42,"1998-01-29","2-HIGH","Clerk#000007194",0,"ly slyly even platelets. regu"
43561985,1200481,"O",137358.34,"1998-07-23","4-NOT SPECIFIED","Clerk#000005894",0," instructions integrate ironically quickly final sentiments."
16885511,869602,"O",152138.68,"1998-05-06","5-LOW","Clerk#000009522",0,"y slyly regular deposits. even deposi"
16885606,1333387,"O",89999.89,"1998-01-29","1-URGENT","Clerk#000003038",0,"the final dolphins. blithely regular dolphins wake. furio"
16885666,1368175,"O",164238.09,"1998-02-25","4-NOT SPECIFIED","Clerk#000008322",0,"ep across the slyly ironic instructions."
16885668,348673,"O",63485.40,"1998-06-30","1-URGENT","Clerk#000008053",0,"efully final courts."
16885696,1266295,"O",48226.14,"1998-03-28","1-URGENT","Clerk#000007344",0,"ccording to the carefully final packages. quickly regular asymptotes p"
16885697,615833,"O",17821.10,"1998-06-04","3-MEDIUM","Clerk#000009447",0,"uses poach. furiously unusual theodolites sleep. never regu"
16885701,1405621,"O",131045.35,"1998-03-07","2-HIGH","Clerk#000005990",0,"de of the furiously express requests cajole furiously across the regular "
16885732,759799,"O",278851.84,"1998-02-09","4-NOT SPECIFIED","Clerk#000007413",0,"tions x-ray blithely. furious"
16885733,429475,"O",92696.39,"1998-04-12","5-LOW","Clerk#000004913",0,"haggle fluffily. carefully final accounts print slyly f"
16885794,1151816,"O",215894.84,"1998-03-14","3-MEDIUM","Clerk#000002212",0,"ly alongside of the slyly final pinto beans. carefully"
16885925,13624,"O",34591.79,"1998-07-27","3-MEDIUM","Clerk#000000412",0,"re carefully slyly regular packages. slyly express excuses lose al"
16885957,45334,"O",33820.57,"1998-04-01","3-MEDIUM","Clerk#000005932",0,"above the quickly ironic deposits. slyly even sentime"
16885958,1401368,"O",138298.62,"1998-05-03","5-LOW","Clerk#000004871",0,"ngside of the fluffily final asymptotes. pending requests are quickly care"
16885984,709825,"O",85887.24,"1998-01-18","1-URGENT","Clerk#000003818",0,"al accounts are furiously about the p"
16886022,14380,"O",122752.51,"1998-07-10","1-URGENT","Clerk#000000261",0,"unusual packages nag whithout the final, regular accounts. ironi"
16886081,443062,"O",235509.42,"1998-04-25","5-LOW","Clerk#000006568",0,"xcuses around the unusual p"
16886113,99055,"O",237967.14,"1998-07-19","5-LOW","Clerk#000001058",0,"odolites. express requests haggle blithely. "
16886178,370123,"O",309132.09,"1998-04-08","2-HIGH","Clerk#000004217",0,"y. accounts across the carefully unusual asymptotes are whithout the carefu"
16886182,293837,"O",257163.68,"1998-05-20","5-LOW","Clerk#000009837",0,"ts. quickly even theodolites after the blithely even asymptotes "
16886278,634915,"O",274071.71,"1998-06-23","2-HIGH","Clerk#000004608",0,"pending requests. blithely "
16886336,639070,"O",219382.94,"1998-03-23","2-HIGH","Clerk#000002110",0,"ions. instructions wake slyly"
16886337,846949,"O",239998.94,"1998-07-22","4-NOT SPECIFIED","Clerk#000001775",0,"tes across the furiously ironic packages haggle furiously d"
16886401,1234430,"O",121373.89,"1998-05-14","1-URGENT","Clerk#000009722",0,"ss requests thrash carefully after the do"
16886433,1084103,"O",167077.47,"1998-07-22","5-LOW","Clerk#000001721",0,"usual pinto beans wake ag"
16886470,78163,"O",92595.55,"1998-03-24","2-HIGH","Clerk#000000194",0," final orbits snooze blithely across the"
16886496,578749,"O",265152.74,"1998-02-14","1-URGENT","Clerk#000006650",0,"al accounts print quickly silently unusual asymptotes. final ideas u"
