"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
46118946,238312,"F",304622.75,"1994-05-07","1-URGENT","Clerk#000006926",0,"ly final packages according to the accounts haggle blithely furiously express "
46119045,592555,"F",62680.30,"1994-02-12","4-NOT SPECIFIED","Clerk#000008973",0,"nag slyly. regular accounts wake quickly above the quickly even t"
46119072,820528,"F",52526.09,"1994-10-26","1-URGENT","Clerk#000003586",0,"dly. final deposits nag above the blith"
46119074,1482011,"F",157742.37,"1994-03-17","4-NOT SPECIFIED","Clerk#000001395",0,"ng pinto beans. fluffily even requests boost quickly slyly unusual de"
46119140,199910,"F",334208.20,"1994-12-16","4-NOT SPECIFIED","Clerk#000002484",0," packages. bold platelets nag carefully unusual ideas. ironic, silent accoun"
46119169,1378946,"F",82614.86,"1994-08-01","3-MEDIUM","Clerk#000002189",0,"y ironic deposits haggle slyly blithely unusual packages. theodolites nag bl"
46119173,6157,"F",250662.11,"1994-11-17","2-HIGH","Clerk#000007569",0,"e carefully according to the quickly even dependencies. ironic, even the"
46119201,1058626,"F",238029.09,"1994-12-10","4-NOT SPECIFIED","Clerk#000008384",0,"efully regular packages cajole furiously"
46119202,798673,"F",122159.04,"1994-02-27","5-LOW","Clerk#000002267",0," final, regular requests maintain. express requests sleep bold"
46119204,1168927,"F",308671.20,"1994-10-13","1-URGENT","Clerk#000008249",0,"egular foxes. regular, final escapa"
46119233,612691,"F",407027.75,"1994-11-09","3-MEDIUM","Clerk#000004005",0,"e fluffily. final pinto beans cajole fluffi"
46119237,237032,"F",256182.34,"1994-06-06","3-MEDIUM","Clerk#000002795",0," beneath the bold theodolites. unusual accounts sleep. "
46119298,677101,"F",73172.62,"1994-08-13","2-HIGH","Clerk#000000573",0,"into beans. blithely final deposits are about the blithely id"
46119328,353995,"F",254280.78,"1994-06-26","3-MEDIUM","Clerk#000000128",0,"ns integrate furiously after the final pinto "
46119331,1303933,"F",212968.64,"1994-12-21","3-MEDIUM","Clerk#000009482",0,". unusual theodolites sleep quickly "
46119393,1177552,"F",137961.80,"1994-01-22","4-NOT SPECIFIED","Clerk#000004662",0,"lyly final packages. slyly ironic"
46119424,825646,"F",319080.34,"1994-08-15","1-URGENT","Clerk#000007218",0,"otes haggle according to t"
46119460,309313,"F",333243.05,"1994-02-21","4-NOT SPECIFIED","Clerk#000006640",0,"ly final realms slee"
46119492,951500,"F",179879.12,"1994-12-09","5-LOW","Clerk#000000353",0,"as affix fluffily express requests. pending, express "
46119556,1073945,"F",240954.01,"1994-10-21","2-HIGH","Clerk#000008861",0," packages sleep. express"
46119559,456325,"F",152471.54,"1994-12-15","2-HIGH","Clerk#000008386",0," ironic, regular requests cajole according to the unusual, regular ac"
46119584,1440683,"F",121389.62,"1994-10-12","2-HIGH","Clerk#000001261",0,"ckly ironic deposits hagg"
46119586,788909,"F",125909.04,"1994-01-19","4-NOT SPECIFIED","Clerk#000007067",0,"ideas are carefully after the slyly even excuses. fin"
46119587,691243,"F",50083.38,"1994-01-04","2-HIGH","Clerk#000009601",0,"express asymptotes. "
46119589,425200,"F",163920.34,"1994-12-01","5-LOW","Clerk#000002110",0,"ess accounts! final instructions use quickly a"
46119621,1098670,"F",32640.48,"1994-10-13","4-NOT SPECIFIED","Clerk#000005845",0,"arefully final deposits sleep"
46119655,762892,"F",32863.38,"1994-04-24","3-MEDIUM","Clerk#000009399",0,"ccounts along the finally regular "
46119680,1414345,"F",153889.13,"1994-12-27","2-HIGH","Clerk#000007361",0,"ackages. furiously regular "
46119719,502846,"F",265245.47,"1994-05-22","4-NOT SPECIFIED","Clerk#000005325",0,". idle packages after the quick excuses haggle across the carefully fina"
46119751,89422,"F",37684.34,"1994-08-27","1-URGENT","Clerk#000003396",0,"lose deposits wake slyly"
46119777,434798,"F",91591.15,"1994-06-13","2-HIGH","Clerk#000007090",0,"thely unusual accounts according to the unusual pinto beans"
46119815,231781,"F",99078.46,"1994-01-22","3-MEDIUM","Clerk#000008647",0,"ainst the slowly even accounts. s"
46119845,1219933,"F",167373.70,"1994-05-28","4-NOT SPECIFIED","Clerk#000006934",0,"ts are thinly. special pearls sleep even packages. even, regular instru"
46119874,1174675,"F",8777.11,"1994-11-22","1-URGENT","Clerk#000002010",0,"en ideas cajole. fu"
46119904,92770,"F",261594.84,"1994-01-20","2-HIGH","Clerk#000006253",0,"lyly special packages. furiously final pinto beans wake. blithely "
46119936,1201811,"F",95529.38,"1994-03-12","5-LOW","Clerk#000000278",0," the blithely regular instructions."
46119940,504880,"F",137684.03,"1994-12-07","1-URGENT","Clerk#000004668",0,"cing deposits haggle. quickly s"
46119943,1124161,"F",239338.95,"1994-02-06","2-HIGH","Clerk#000009553",0,"ly? carefully regular requests about the"
46120033,697705,"F",185558.59,"1994-08-09","5-LOW","Clerk#000005723",0,"ns wake silent excuses. silently even instructions acr"
46120036,177134,"F",94500.20,"1994-02-22","2-HIGH","Clerk#000005833",0," requests detect ironically"
46120037,1084444,"F",122191.12,"1994-06-10","4-NOT SPECIFIED","Clerk#000000574",0," the furiously pending deposits? carefully ironic attainments wake"
46120099,242041,"F",162979.22,"1994-07-26","5-LOW","Clerk#000003460",0,". slyly even pains might affix special instructions. even, pending depths thr"
46120163,25378,"F",102157.35,"1994-02-14","1-URGENT","Clerk#000003954",0,"blithely special reques"
46120193,520897,"F",229828.59,"1994-04-25","3-MEDIUM","Clerk#000004151",0,"the fluffily regular packages. quickly pending fox"
46120195,1022861,"F",4084.96,"1994-10-18","4-NOT SPECIFIED","Clerk#000007836",0,"te blithely carefully special requests. final depo"
46120198,471574,"F",61895.89,"1994-02-12","2-HIGH","Clerk#000007224",0,"y ideas nag furiously along the furiously unusual packages. even a"
46120225,398108,"F",52599.01,"1994-05-15","5-LOW","Clerk#000008551",0,"fily. deposits wake. slyly un"
46120226,988582,"F",204137.75,"1994-03-16","2-HIGH","Clerk#000000069",0," to the carefully bold "
46120228,200683,"F",237006.01,"1994-02-13","1-URGENT","Clerk#000004141",0,"ound the slyly final deposits. fluffily final packages "
46120229,867608,"F",43259.73,"1994-04-19","4-NOT SPECIFIED","Clerk#000001391",0,"express excuses. furiously bold dependencies run. furio"
46120293,280009,"F",121302.59,"1994-01-12","3-MEDIUM","Clerk#000007375",0,"ades nag above the final platelets: furiously ironic courts among the sp"
46120320,1162315,"F",247217.23,"1994-09-24","5-LOW","Clerk#000003309",0,"ajole. fluffily final packages alon"
46120327,1095292,"F",120582.65,"1994-12-29","5-LOW","Clerk#000006171",0,"leep furiously along the pending waters. care"
46120353,339226,"F",174652.68,"1994-01-31","2-HIGH","Clerk#000006216",0,"lar, ironic packages eat slyly blithe"
46120359,395203,"F",40125.80,"1994-06-28","1-URGENT","Clerk#000006404",0,"s cajole furiously: ironic requests haggle quickly alongside"
46120417,1285606,"F",173147.03,"1994-05-30","5-LOW","Clerk#000009743",0,"ic decoys boost across the pending, sly dinos. blithely "
46120453,660404,"F",227422.58,"1994-06-05","4-NOT SPECIFIED","Clerk#000000283",0," the furiously bold as"
46120484,646525,"F",136185.57,"1994-02-24","1-URGENT","Clerk#000008290",0,"its. special, bold ideas "
46120544,752569,"F",91915.70,"1994-03-08","4-NOT SPECIFIED","Clerk#000008590",0,"posits. furiously even dolphins are slyly against the unu"
46120545,423895,"F",264362.33,"1994-10-13","2-HIGH","Clerk#000007232",0,"furiously final ideas boost fluffily according to "
46120551,490547,"F",165502.03,"1994-01-10","4-NOT SPECIFIED","Clerk#000000347",0,"ges. furiously even acco"
46120579,1383776,"F",136766.62,"1994-07-28","1-URGENT","Clerk#000007421",0,"ding, regular accounts. carefully ironic excuses integrate. sly"
46120609,1004822,"F",170238.30,"1994-05-31","3-MEDIUM","Clerk#000000621",0,"ing to the slyly express courts. fluffily regu"
46120614,1052386,"F",67792.47,"1994-05-02","5-LOW","Clerk#000003337",0,"ages. blithely silent deposits are bravely ironi"
46120641,247192,"F",95372.81,"1994-12-30","1-URGENT","Clerk#000004414",0,"ual deposits. slyly unusual accounts sleep blithely "
46120644,1231838,"F",158994.40,"1994-07-24","3-MEDIUM","Clerk#000008986",0,"nal packages maintain carefully. fluffil"
46120646,797881,"F",55299.06,"1994-08-12","4-NOT SPECIFIED","Clerk#000003862",0," blithely dependencies? carefully regular instructions l"
46120676,1452308,"F",182204.04,"1994-06-25","2-HIGH","Clerk#000001390",0,"al ideas against the carefully regular plate"
46120705,677815,"F",256623.14,"1994-08-30","2-HIGH","Clerk#000001280",0,"c accounts sleep fluffily. ideas are furious"
46120708,284575,"F",240865.02,"1994-02-05","3-MEDIUM","Clerk#000002384",0,"gainst the express packages cajole carefully re"
46120710,397453,"F",72684.09,"1994-11-10","2-HIGH","Clerk#000007049",0,"re quietly above the slyly express packages. slyly final packages "
46120737,54985,"F",218202.65,"1994-04-18","5-LOW","Clerk#000004568",0,"regularly ironic accounts wake according to the permanent t"
46120769,736909,"F",202345.06,"1994-08-18","2-HIGH","Clerk#000006370",0," cajole after the fluffily unusual reques"
46120770,1211216,"F",91435.11,"1994-08-12","1-URGENT","Clerk#000004101",0," quickly express dugouts promise. special requests haggle. even, expre"
46120772,758306,"F",11377.30,"1994-04-21","3-MEDIUM","Clerk#000008471",0," final, pending asymptotes integr"
46120806,460630,"F",68654.88,"1994-09-27","2-HIGH","Clerk#000008111",0,"le carefully blithely ex"
46120807,288842,"F",244107.01,"1994-09-12","4-NOT SPECIFIED","Clerk#000009953",0,"y blithely regular accounts. packages about the "
46120832,560623,"F",166126.23,"1994-06-21","5-LOW","Clerk#000006194",0,". fluffily unusual dependencies integrate instructions. blithe"
46120870,1138169,"F",203976.65,"1994-06-14","5-LOW","Clerk#000006516",0,"bravely regular deposits. c"
46120961,1161802,"F",288359.81,"1994-08-23","2-HIGH","Clerk#000000443",0,"uriously around the blithely even instructions. final accounts "
46120963,1059418,"F",330567.81,"1994-03-27","3-MEDIUM","Clerk#000006782",0,"n accounts; quickly final ideas haggle furiously regula"
46121063,655984,"F",196287.56,"1994-07-30","3-MEDIUM","Clerk#000004111",0," asymptotes about the furiously regular accounts sleep furiously al"
46121155,732118,"F",175136.14,"1994-05-31","2-HIGH","Clerk#000006483",0,"gular ideas. fluffily ironic deposits above the furiously regular warthogs caj"
46121185,197179,"F",33829.99,"1994-02-08","3-MEDIUM","Clerk#000002997",0," the pending pinto beans x-ray"
46121223,687545,"F",97193.85,"1994-09-12","4-NOT SPECIFIED","Clerk#000005651",0,"express dinos nag blithely requ"
46121249,1152341,"F",142714.18,"1994-08-03","4-NOT SPECIFIED","Clerk#000002669",0," pinto beans! furiously fluffy requests are blithely; packages after t"
46121251,990871,"F",123014.89,"1994-06-10","5-LOW","Clerk#000006471",0,"l deposits. final requests use pen"
46121280,1203640,"F",120831.35,"1994-01-25","5-LOW","Clerk#000004687",0,"bold ideas. slyly ironic multipliers are. slyly ironic ideas wake about "
46121287,1259059,"F",41662.49,"1994-07-30","2-HIGH","Clerk#000007200",0,"s wake after the bra"
46121312,503329,"F",80060.43,"1994-09-03","1-URGENT","Clerk#000003844",0,"al packages: slyly ironic requests use quickly furiously enticing ideas. ex"
46121315,829588,"F",166584.06,"1994-10-18","4-NOT SPECIFIED","Clerk#000009394",0,"even requests. bold, p"
46121347,346264,"F",189364.55,"1994-04-08","5-LOW","Clerk#000008302",0,"ole blithely pending pinto beans. somas "
46121349,543913,"F",190625.41,"1994-08-09","2-HIGH","Clerk#000004810",0,"ly. pending ideas wake. pending, regular accounts detect. furiously final pac"
46121408,1321138,"F",70818.56,"1994-08-25","2-HIGH","Clerk#000008836",0,"tructions use final, special requests."
4723873,1311952,"F",67356.92,"1994-10-08","3-MEDIUM","Clerk#000008267",0,"eodolites. foxes use furiously even ideas. regular dependencies sleep f"
4723879,181270,"F",92792.00,"1994-04-09","5-LOW","Clerk#000001641",0,"bold deposits. carefully regular theodolites boost fluffily requests. u"
4723906,435491,"F",203421.42,"1994-04-16","3-MEDIUM","Clerk#000003633",0,"ly special pinto beans. blithely special accounts above the q"
4723907,781195,"F",17496.87,"1994-08-08","4-NOT SPECIFIED","Clerk#000003130",0,"ending dolphins throughout the carefully final pinto bea"
4723938,95674,"F",247640.21,"1994-02-11","1-URGENT","Clerk#000002531",0,"to the quickly regular foxes affix carefully even packages. "
4723969,974774,"F",273237.26,"1994-03-17","4-NOT SPECIFIED","Clerk#000001874",0,"ackages. slyly special packages boost. final sentiments haggle blithely"
4724001,1057666,"F",168650.37,"1994-09-10","1-URGENT","Clerk#000003481",0,"sits cajole carefully: doggedly regular d"
4724034,1010857,"F",97781.24,"1994-07-17","3-MEDIUM","Clerk#000002995",0," the requests. accounts eat after the express, regular dependen"
4724065,482216,"F",252503.79,"1994-09-27","2-HIGH","Clerk#000005922",0," fluffily regular requests wake blithely across the instruction"
4724071,1029995,"F",65311.61,"1994-10-06","3-MEDIUM","Clerk#000004064",0,"ular platelets alongside of the furiously final packages are"
4724099,192818,"F",102595.33,"1994-02-07","3-MEDIUM","Clerk#000005197",0," dependencies. regular fo"
