"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
42329703,446690,"O",235964.23,"1997-06-12","3-MEDIUM","Clerk#000006195",0,"silent dependencies nag final, "
42329729,355352,"O",286048.88,"1997-08-21","5-LOW","Clerk#000008864",0,"cuses. furiously pending packages affix furiously. slyly ironic courts use "
42329760,1251904,"O",367030.53,"1997-03-19","1-URGENT","Clerk#000001657",0,"es. quietly pending ideas believ"
42329794,1170691,"O",199686.16,"1997-06-25","1-URGENT","Clerk#000000480",0,"ole carefully even escapades. req"
42329796,807100,"O",15820.33,"1997-04-03","4-NOT SPECIFIED","Clerk#000003615",0,"ideas use. furiously slow accounts are quickly blithely bold ideas! furious"
42329831,1433996,"O",2889.75,"1997-06-29","2-HIGH","Clerk#000004389",0,"e even dependencies. carefully final accounts wake. dol"
42329858,128968,"O",89515.73,"1997-10-09","1-URGENT","Clerk#000005373",0," the furiously express packages. packages "
42329952,1113935,"O",180778.66,"1997-03-05","1-URGENT","Clerk#000006178",0,"accounts. pinto beans nag atop the furiously special "
42329954,21152,"O",19666.56,"1997-11-13","1-URGENT","Clerk#000005536",0," deposits are deposits. special requests cajole furiously at the even, "
42329987,1404100,"O",189119.91,"1997-01-29","3-MEDIUM","Clerk#000000127",0,"ructions haggle against the iron"
42329991,1211042,"O",174444.59,"1997-04-28","5-LOW","Clerk#000008344",0,"counts are. braids boost. blithely even excuses x-ray af"
42330016,476114,"O",280507.96,"1997-07-04","1-URGENT","Clerk#000002930",0,"instructions. furiously express foxes use across "
42330018,102376,"O",244349.31,"1997-07-03","2-HIGH","Clerk#000000902",0," haggle. slyly slow accounts cajole quickly unusu"
42330019,129188,"O",68707.76,"1997-06-09","3-MEDIUM","Clerk#000003770",0,"ggle according to the slyly final dinos. pend"
42330080,917773,"O",160653.71,"1997-12-08","5-LOW","Clerk#000005437",0,"press requests haggle quickl"
42330082,986734,"O",51499.30,"1997-02-26","4-NOT SPECIFIED","Clerk#000004690",0,"pinto beans sleep carefully furiously unusual theodolites. carefully fin"
42330115,1419949,"O",207655.22,"1997-06-01","4-NOT SPECIFIED","Clerk#000004247",0,"olites haggle fluffily according to the carefully even reques"
42330176,522374,"O",54128.80,"1997-11-12","4-NOT SPECIFIED","Clerk#000001078",0,"st carefully. closely"
