"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
43584100,145906,"F",119001.48,"1993-02-14","1-URGENT","Clerk#000009358",0,"iously alongside of the regular pinto beans. slyly "
43584101,1213792,"F",124093.01,"1993-04-29","1-URGENT","Clerk#000005195",0,"egular theodolites. regular deposits are blithely bold,"
43584103,871477,"F",34876.99,"1993-02-06","5-LOW","Clerk#000009769",0,"olites. slyly regular theodolites wake. idle, special packages run. even"
43584131,1415782,"F",146517.08,"1993-12-10","4-NOT SPECIFIED","Clerk#000005958",0,"s poach quickly slyly regular theodolites; carefully bold deposits na"
43584135,1446679,"F",37424.39,"1993-12-04","5-LOW","Clerk#000001797",0,"he quickly even packages boost furi"
43584160,817108,"F",55001.54,"1993-05-11","3-MEDIUM","Clerk#000000128",0," even requests; requests try to haggle caref"
43584162,1048610,"F",5511.91,"1993-12-23","2-HIGH","Clerk#000004673",0,"lthily against the carefully express forges. thin ins"
43584163,486493,"F",96377.10,"1993-02-02","4-NOT SPECIFIED","Clerk#000008516",0,"ackages use according to the even foxes. bold, qu"
43584195,581948,"F",114114.12,"1993-05-24","5-LOW","Clerk#000007693",0,"ar deposits. furiously regular de"
43584224,920962,"F",121487.48,"1993-08-20","2-HIGH","Clerk#000003208",0,"ructions. doggedly pending"
43584225,107968,"F",137460.47,"1993-10-29","1-URGENT","Clerk#000003087",0,"longside of the blithely pending excuses. even deposits"
43584227,10420,"F",210475.05,"1993-01-22","4-NOT SPECIFIED","Clerk#000007837",0,"ructions ought to thrash quickly"
43584229,346118,"F",192507.53,"1993-07-26","2-HIGH","Clerk#000008955",0,"al deposits are silent deposits. fur"
43584256,892283,"F",187876.46,"1993-07-31","4-NOT SPECIFIED","Clerk#000003061",0,"g to the slyly pending"
43584323,1118116,"F",84750.34,"1993-12-11","1-URGENT","Clerk#000004121",0,"oxes sleep. fluffily unusual frets dazzle slyly above t"
43584387,1228948,"F",33069.66,"1993-02-14","2-HIGH","Clerk#000003701",0,"g the carefully even notornis detect furiously carefully pe"
43584450,135154,"F",119735.11,"1993-11-11","1-URGENT","Clerk#000002538",0,"unts about the furiously regular accounts boost blithely final pa"
43584453,282257,"F",46334.79,"1993-05-11","1-URGENT","Clerk#000000189",0,"eas! busy requests cajole. fur"
43584519,729274,"F",114978.79,"1993-10-12","5-LOW","Clerk#000003221",0,"unts. ironic, express dolphins cajole carefully accounts. special theodol"
43584615,902504,"F",207050.51,"1993-03-23","1-URGENT","Clerk#000004077",0,"s are blithely slyly regular theodolites. fluffily regu"
43584643,476455,"F",42343.24,"1993-01-23","3-MEDIUM","Clerk#000007665",0,"le furiously. deposits across the fluffily express accounts sl"
43584646,990889,"F",153572.75,"1993-04-11","1-URGENT","Clerk#000000231",0,"nusual packages wake. blithely even foxes boost. quickly"
43584736,80035,"F",137836.09,"1993-05-23","4-NOT SPECIFIED","Clerk#000007667",0,"e even theodolites nag slyly abou"
43584740,1168886,"F",324633.21,"1993-01-23","3-MEDIUM","Clerk#000008268",0," above the unusual accounts. slyly regular deposits hag"
43584838,188716,"F",37618.60,"1993-02-17","3-MEDIUM","Clerk#000009599",0,"structions against the bold, pending a"
43584866,708469,"F",206017.47,"1993-09-14","5-LOW","Clerk#000009922",0,"refully even packages eat always. theodolites among the sly idea"
43584868,1498265,"F",260270.09,"1993-07-24","2-HIGH","Clerk#000001803",0,"tructions according to the express ideas nag regular ideas. carefully pend"
43584869,825085,"F",179808.41,"1993-06-14","2-HIGH","Clerk#000001925",0,"l deposits boost furiously de"
43584900,456103,"F",17650.77,"1993-04-25","3-MEDIUM","Clerk#000007723",0,"inal ideas affix carefully packages. ruthless,"
43584901,718270,"F",206086.07,"1993-06-25","3-MEDIUM","Clerk#000007789",0," pinto beans against the deposits are slyly against the"
43584932,215741,"F",206678.69,"1993-07-26","1-URGENT","Clerk#000009852",0,"e furiously idle pains cajole"
43584997,1210130,"F",139462.43,"1993-08-04","5-LOW","Clerk#000004330",0,"ons. blithely even forges haggle slyly even pack"
43584999,428977,"F",174472.85,"1993-12-21","3-MEDIUM","Clerk#000009013",0,"ccording to the foxes. quickly ironic ideas are slyly carefully close pac"
43585025,976828,"F",114366.64,"1993-01-21","5-LOW","Clerk#000001365",0," asymptotes above the patterns are slyly ironic, regular packages. furiously"
43585027,1078772,"F",143785.82,"1993-07-23","1-URGENT","Clerk#000003999",0,"egular instructions sleep fluffily furiously fl"
43585059,599452,"F",32174.37,"1993-12-11","4-NOT SPECIFIED","Clerk#000005616",0,"ckly along the carefully spe"
43585122,431876,"F",29702.19,"1993-07-16","4-NOT SPECIFIED","Clerk#000007262",0,"nag across the fluffily even foxes. regular accounts above the quickl"
43585123,32255,"F",254640.63,"1993-02-26","4-NOT SPECIFIED","Clerk#000001589",0,"ias. quickly unusual"
43585156,348658,"F",53598.03,"1993-05-12","1-URGENT","Clerk#000008512",0,"lent sauternes. ruth"
43585157,861718,"F",23027.25,"1993-08-24","2-HIGH","Clerk#000009710",0,"onically express deposits are caref"
43585184,90454,"F",38481.05,"1993-11-01","5-LOW","Clerk#000002201",0,"ray slyly outside the slyly even foxes. bold a"
43585187,336583,"F",116403.26,"1993-06-06","2-HIGH","Clerk#000003674",0," between the special, even accounts. bold, unusual accounts sleep"
43585189,260905,"F",167106.88,"1993-08-31","1-URGENT","Clerk#000002278",0,"press dependencies wake carefully bold accounts. carefully qui"
