"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
46122503,1384570,"O",154365.54,"1996-09-18","2-HIGH","Clerk#000008912",0,"ages haggle across the special pinto beans. carefully even "
46122529,289957,"O",80542.18,"1996-01-19","1-URGENT","Clerk#000004481",0,"ss the dogged ideas haggle slyly fluffily"
46122565,1195675,"O",214962.48,"1996-03-09","2-HIGH","Clerk#000007494",0,"sleep since the ideas. regular deposits at the ironic r"
46122566,200975,"O",122214.39,"1996-05-24","1-URGENT","Clerk#000002115",0,"ies across the even deposits sleep after the gifts. slyly special excus"
46122592,171772,"O",33105.78,"1996-05-11","3-MEDIUM","Clerk#000006354",0,"cial requests could have to wake"
46122593,950182,"O",30507.11,"1996-05-06","3-MEDIUM","Clerk#000005625",0,"dolites use slyly around the requests: slowly special depen"
46122627,587350,"O",108315.12,"1996-08-12","2-HIGH","Clerk#000008804",0,"final requests along the slyly"
46122631,1464529,"O",133190.75,"1996-04-25","4-NOT SPECIFIED","Clerk#000009800",0,"depths. always special decoys are fur"
46122662,31186,"O",187872.50,"1996-01-20","3-MEDIUM","Clerk#000009288",0,"ructions-- unusual theodolites at the blithel"
46122694,504895,"O",191960.62,"1996-07-01","1-URGENT","Clerk#000008337",0,"ounts are. ironic, ironic packages "
46122695,248884,"O",323250.41,"1996-09-09","1-URGENT","Clerk#000007692",0," slyly regular dependencies integrate fluffily packages. qu"
46122720,988924,"O",193844.94,"1996-07-04","1-URGENT","Clerk#000008714",0," furiously. deposits affi"
46122725,1304245,"O",216745.11,"1996-03-09","1-URGENT","Clerk#000003067",0,"nal packages sleep slyly. "
46122755,430847,"O",158048.94,"1996-01-18","4-NOT SPECIFIED","Clerk#000002366",0,"lets alongside of the blithely pending packages c"
46122819,1149019,"O",228351.77,"1996-09-17","5-LOW","Clerk#000001384",0,"y according to the slowly final depo"
46122820,545734,"O",107357.54,"1996-11-02","1-URGENT","Clerk#000009141",0,"regular theodolites. special theod"
46122880,459157,"O",99956.11,"1996-11-15","5-LOW","Clerk#000009416",0,"nd furiously along the f"
46122918,553861,"O",94555.21,"1996-04-14","3-MEDIUM","Clerk#000006250",0," the carefully final packages haggle according to the closely pending cour"
46122944,895475,"O",94515.16,"1996-05-29","1-URGENT","Clerk#000004230",0,"r dolphins. slyly final instructions above the even, express "
46122950,144778,"O",115506.39,"1996-03-24","5-LOW","Clerk#000009917",0,"ealthy, special deposits about the slyly regular accounts nag blithe"
46123010,1295800,"O",108601.15,"1996-10-20","5-LOW","Clerk#000002081",0,"unts cajole after the ironic dependencies. ironic packa"
46123014,1007854,"O",161176.30,"1996-01-22","2-HIGH","Clerk#000008052",0,"e quietly regular courts. bold decoys boost carefully slyly spe"
46123045,533893,"O",66004.72,"1996-02-24","3-MEDIUM","Clerk#000001836",0,"uickly even requests around the unusual gifts use package"
46123079,439909,"O",162062.90,"1996-06-16","1-URGENT","Clerk#000004971",0,"kages hinder against the slyly ironic theodolites. ironic ac"
46123105,712132,"O",135361.98,"1996-07-02","5-LOW","Clerk#000001505",0," carefully regular accounts. "
46123108,942994,"O",268725.68,"1996-07-06","2-HIGH","Clerk#000007494",0,"pliers thrash according to the carefully fin"
46123138,32044,"O",49381.40,"1996-07-01","3-MEDIUM","Clerk#000002855",0,"ly regular, regular "
46123141,1276255,"O",105558.00,"1996-01-20","4-NOT SPECIFIED","Clerk#000000089",0," final accounts use"
46123143,355286,"O",277691.81,"1996-04-07","4-NOT SPECIFIED","Clerk#000007726",0," instructions use furiously. quickly bold packages haggle quickly against"
46123174,745714,"O",252455.22,"1996-09-28","4-NOT SPECIFIED","Clerk#000003367",0,"es. sometimes final deposits integrate a"
46123201,907864,"O",172923.94,"1996-02-13","3-MEDIUM","Clerk#000007379",0," pinto beans. special requests nod. ironic, unusual requests haggle blithel"
46123206,749533,"O",237289.66,"1996-03-22","5-LOW","Clerk#000002412",0,"ily regular multipliers u"
46123234,968602,"O",222845.66,"1996-10-13","5-LOW","Clerk#000002291",0," pinto beans. blithely b"
46123235,1283215,"O",107679.86,"1996-02-27","5-LOW","Clerk#000001181",0,"yly special ideas? blithely even pinto beans cajole carefully furiously pe"
46123264,412147,"O",102997.14,"1996-04-14","2-HIGH","Clerk#000009644",0,"ly express accounts haggle carefully realms. fluffily regular packages"
46123266,1143227,"O",338644.01,"1996-09-26","3-MEDIUM","Clerk#000005898",0,"se around the regular, special accounts. boldly regular deposits sl"
46123268,1416629,"O",125423.66,"1996-04-04","3-MEDIUM","Clerk#000006560",0," the slyly unusual theodo"
46123299,1457569,"O",102518.30,"1996-04-06","4-NOT SPECIFIED","Clerk#000000047",0,"ructions sleep fluffily; even pinto b"
46123302,533857,"O",254459.88,"1996-02-29","3-MEDIUM","Clerk#000006383",0,"yly final packages wake quickly along the "
4723201,198605,"O",84978.87,"1996-08-07","2-HIGH","Clerk#000005236",0,"permanent requests might haggl"
4723202,448094,"O",11337.84,"1996-11-20","4-NOT SPECIFIED","Clerk#000002005",0,"ronic packages snooze caref"
4723203,1108307,"O",104310.67,"1996-02-21","4-NOT SPECIFIED","Clerk#000005859",0,"al requests haggle slyly. regular, special accounts cajole fluffily. blit"
4723232,1459625,"O",228214.86,"1996-10-13","1-URGENT","Clerk#000009738",0,"even packages sleep slyly carefully bold deposits. regular, unusual"
4723234,345079,"O",165151.19,"1996-07-15","5-LOW","Clerk#000001513",0,"eposits doze furiously carefully express deposits. eve"
4723238,464821,"O",294475.21,"1996-03-27","3-MEDIUM","Clerk#000007255",0,"ccounts wake quick, unusual pinto beans. final platelet"
4723271,610159,"O",223164.93,"1996-04-08","5-LOW","Clerk#000004428",0,"jole evenly across the quickly regular pinto beans. regular dependencies bo"
4723303,1274698,"O",179321.51,"1996-02-12","5-LOW","Clerk#000000831",0,"uffily above the packages! carefully regular packages ab"
4723333,732487,"O",301406.87,"1996-02-06","5-LOW","Clerk#000003292",0,"ing pinto beans. always slow accounts boost regu"
4723424,323444,"O",179084.99,"1996-12-03","4-NOT SPECIFIED","Clerk#000005291",0,"excuses affix carefully across the blithely bold frets. fluffily even dep"
4723426,1090780,"O",227249.37,"1996-03-26","1-URGENT","Clerk#000000171",0,"special deposits. carefull"
4723456,833422,"O",167162.60,"1996-12-26","4-NOT SPECIFIED","Clerk#000002619",0,"al deposits. quickly final requests wake. quickly special accounts believe bey"
4723457,307405,"O",89341.55,"1996-11-14","4-NOT SPECIFIED","Clerk#000008043",0,"pinto beans. carefully ruthless "
4723460,390181,"O",58725.14,"1996-04-19","1-URGENT","Clerk#000005054",0,"efully unusual deposits wake slyly ruthless instructions. silent packages da"
4723491,337955,"O",151365.97,"1996-04-29","5-LOW","Clerk#000007004",0,"ironic excuses. blithely bold foxes sleep final dugouts. slyly spe"
4723492,1008958,"O",230721.68,"1996-01-07","5-LOW","Clerk#000004261",0,"egular instructions at"
4723495,1320757,"O",300396.58,"1996-08-08","3-MEDIUM","Clerk#000000830",0,"s could have to use among the regular, express accounts. ideas are "
4723522,761047,"O",170179.91,"1996-12-03","3-MEDIUM","Clerk#000003496",0,"its instead of the bold packages cajole carefully unusual se"
4723556,1456820,"O",93451.31,"1996-03-24","4-NOT SPECIFIED","Clerk#000001512",0,"ully regular courts are busily. final accounts haggle slyly c"
4723681,1427366,"O",250296.54,"1996-12-18","4-NOT SPECIFIED","Clerk#000009917",0," slyly busy requests nag carefully packages. fluffily special epitaph"
4723687,1370380,"O",17258.94,"1996-07-23","2-HIGH","Clerk#000008588",0," the furiously unus"
4723713,919660,"O",116945.67,"1996-12-11","5-LOW","Clerk#000006988",0," instructions cajole quickly?"
4723719,345614,"O",102621.11,"1996-04-09","3-MEDIUM","Clerk#000007299",0,"hinly above the slyly fi"
4723872,595277,"O",167269.75,"1996-10-16","2-HIGH","Clerk#000004876",0,"equests are after the re"
4723908,20885,"O",189204.42,"1996-01-19","3-MEDIUM","Clerk#000004392",0," around the slyly regular deposits sleep fluffily after the requests. de"
4723936,706684,"O",232600.65,"1996-02-16","1-URGENT","Clerk#000004040",0,"fully outside the blithely regular foxes."
4723972,413308,"O",177726.76,"1996-06-26","3-MEDIUM","Clerk#000000120",0," ironic pinto beans mold carefully above the"
