"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
46727297,335731,"F",206251.11,"1992-05-29","3-MEDIUM","Clerk#000004941",0,"posits wake fluffily behind the final, regular notorn"
46727299,226940,"F",288212.34,"1992-06-19","3-MEDIUM","Clerk#000007364",0,"pending requests detect bravely regular ideas. ideas nag carefully a"
46727302,46483,"F",267820.57,"1992-12-04","5-LOW","Clerk#000001693",0,"y even somas detect. slyly bold fox"
46727396,727840,"F",272321.42,"1992-11-24","3-MEDIUM","Clerk#000008839",0,"kages. pending requests haggle against the even, even "
46727430,716257,"F",251115.17,"1992-08-18","3-MEDIUM","Clerk#000004360",0,"ly regular foxes haggle carefully sly accounts. "
46727493,169630,"F",234301.25,"1992-04-10","3-MEDIUM","Clerk#000003624",0,"accounts sleep quickly. exp"
46727494,950357,"F",271885.73,"1992-08-12","4-NOT SPECIFIED","Clerk#000004776",0,"s haggle after the carefully ironic packages. regular"
46727520,1273990,"F",244319.22,"1992-06-14","1-URGENT","Clerk#000005574",0,"ar deposits sleep fluffily after the platelets. slyly ironic instruc"
46727521,919060,"F",89953.85,"1992-06-24","5-LOW","Clerk#000007066",0,"p along the blithely pending deposit"
46727522,1130396,"F",86504.16,"1992-11-08","1-URGENT","Clerk#000004405",0,"ts wake quickly blithe"
46727552,821038,"F",352001.49,"1992-09-06","3-MEDIUM","Clerk#000009039",0,"pending instructions. sometimes ironic excuses detect furiously quiet p"
46727555,214079,"F",84119.84,"1992-10-10","1-URGENT","Clerk#000009985",0,"refully final pinto beans. express instruc"
46727584,1225529,"F",140597.30,"1992-01-06","3-MEDIUM","Clerk#000006522",0," regular platelets. furiously final instructions doze blithely according to"
46727589,829955,"F",242963.10,"1992-04-06","2-HIGH","Clerk#000001879",0,"aggle furiously across the courts. ruthlessly bold packa"
46727590,539503,"F",243611.25,"1992-10-03","2-HIGH","Clerk#000008811",0,"c instructions. slyly regular requests ca"
46727618,1492918,"F",224456.67,"1992-10-31","2-HIGH","Clerk#000000937",0,"ely final deposits are blithely carefully special the"
46727621,180701,"F",15704.14,"1992-09-05","3-MEDIUM","Clerk#000007504",0," ironic pinto beans nag furiously even, special excuses! deposits use "
46727623,1379741,"F",256107.89,"1992-01-20","3-MEDIUM","Clerk#000001511",0,"y even requests haggle"
46727652,464957,"F",156236.50,"1992-01-08","1-URGENT","Clerk#000009001",0,"ily even asymptotes. regular, final instructions wake furi"
46727684,1302598,"F",30317.38,"1992-01-13","2-HIGH","Clerk#000005522",0,"r the special foxes? slyly even ideas according to the c"
46727686,507335,"F",99491.27,"1992-04-23","3-MEDIUM","Clerk#000003245",0,"ornis. carefully ironic theo"
46727714,55159,"F",359410.96,"1992-06-15","3-MEDIUM","Clerk#000000324",0,"ccounts are blithely pending requ"
46727718,1222603,"F",226640.96,"1992-03-21","1-URGENT","Clerk#000006914",0,"counts sleep across the furiously ironic hockey players. sil"
46727751,157048,"F",129595.76,"1992-05-26","2-HIGH","Clerk#000005908",0,"requests. special deposits wake bold courts. eve"
46727906,745117,"F",251716.23,"1992-02-10","3-MEDIUM","Clerk#000003130",0,"y express packages wake blithely agai"
46727939,1423757,"F",80904.72,"1992-04-22","5-LOW","Clerk#000002292",0,"he packages unwind regular, unusual deposits. quickly final pinto beans "
46727968,235082,"F",51792.88,"1992-12-05","5-LOW","Clerk#000000821",0,"ully regular packages sleep furiously. fluffil"
46728002,785537,"F",178614.39,"1992-05-01","1-URGENT","Clerk#000000780",0,"kly enticing packages cajole acco"
46728003,1008310,"F",49727.46,"1992-10-23","3-MEDIUM","Clerk#000007584",0," the quickly bold pains grow furiously final frets; spec"
46728100,1229395,"F",200654.45,"1992-07-30","1-URGENT","Clerk#000003572",0," regular packages ha"
46728162,91550,"F",205328.60,"1992-03-12","3-MEDIUM","Clerk#000001425",0,"accounts cajole. regula"
46728164,1003240,"F",153972.56,"1992-04-25","5-LOW","Clerk#000003500",0,"e slyly blithely ironic accounts. quickl"
46728194,954883,"F",261302.64,"1992-06-27","3-MEDIUM","Clerk#000000630",0,"s are. pinto beans nag furio"
46728224,1005664,"F",348765.09,"1992-08-19","1-URGENT","Clerk#000000626",0,"nding dolphins. blithely ironic ideas across th"
46728226,683407,"F",87028.09,"1992-12-09","5-LOW","Clerk#000007993",0,"above the unusual realms. carefull"
46728259,1156682,"F",85550.51,"1992-11-22","5-LOW","Clerk#000003004",0,"pinto beans nag. requests sleep blithely against the "
46728263,1307860,"F",89498.67,"1992-04-08","3-MEDIUM","Clerk#000007990",0,"sts sleep quickly regular pearls. ironic, silent accounts could"
46728294,1253086,"F",25645.42,"1992-01-25","5-LOW","Clerk#000002581",0,"e blithely after the packages. bold, sly requests sleep idly. packages cajo"
46728325,447647,"F",103804.67,"1992-10-28","2-HIGH","Clerk#000005948",0,"posits are against the slyly ironic re"
46728327,559678,"F",184396.63,"1992-06-27","5-LOW","Clerk#000009600",0,"es are slyly. asymptotes haggle at the regular accounts. special d"
46728354,1472887,"F",79525.28,"1992-08-31","3-MEDIUM","Clerk#000009705",0,"pending warhorses. sly"
46728388,1434880,"F",153277.27,"1992-07-01","3-MEDIUM","Clerk#000009933",0,"ep from the quietly silent wat"
46728421,306409,"F",210316.10,"1992-09-07","5-LOW","Clerk#000001500",0,"ing to the fluffily unusual requests. ironic pinto beans haggle along"
46728423,1315721,"F",139593.22,"1992-01-27","4-NOT SPECIFIED","Clerk#000001792",0,"hogs boost blithely instructions. blithely sile"
46728486,1388821,"F",24413.14,"1992-06-11","4-NOT SPECIFIED","Clerk#000009214",0,"es believe furiously blit"
46728513,169396,"F",256935.05,"1992-01-22","1-URGENT","Clerk#000004134",0,"ve quickly. fluffily fina"
46728578,840473,"F",33244.73,"1992-02-28","3-MEDIUM","Clerk#000001470",0,"cial packages. theodolit"
46728582,224023,"F",17641.46,"1992-03-02","5-LOW","Clerk#000001231",0,"inal theodolites boost regular deposits. slyly ironic ideas cajole along the"
46728644,233917,"F",205975.93,"1992-01-30","4-NOT SPECIFIED","Clerk#000008407",0,"y unusual pinto beans. fluffily special packages ha"
